crmid;firstname;lastname;email;brand;birthdate;folder;segment;acquisition_date;country;gender;language;owns_machine
CRM0000001125;Zak;Carr;zakcarr9162@emailsim.io;coffeeworks;10/02/1974;nmsRootRecipient;one_time;2025-05-09;UK;M;en;True
CRM0000001126;Zoe;Brady;zoebrady10838@emailsim.io;coffeeworks;02/11/1953;nmsRootRecipient;active_high;2024-03-27;US;M;en;True
CRM0000001127;Jan;Roth;janroth10858@yopmail.com;coffeeworks;11/05/1967;nmsRootRecipient;active_medium;2025-07-08;DE;M;de;True
CRM0000001128;Loring;Allain;loringallain11030@emailsim.io;coffeeworks;05/10/1984;nmsRootRecipient;occasional;2024-10-24;FR;M;fr;True
CRM0000001129;Laura;Aube;lauraaaube11203@emailsim.io;coffeeworks;06/11/1981;nmsRootRecipient;occasional;2023-12-10;DE;F;de;False
CRM0000001130;Michael;Page;michaelpage13795@emailsim.io;coffeeworks;07/02/1973;nmsRootRecipient;lapsed;2023-01-07;UK;M;en;False
CRM0000001131;Jake;Lack;jakelack13950@emailsim.io;coffeeworks;11/06/1972;nmsRootRecipient;active_medium;2023-11-23;UK;F;en;True
CRM0000001132;Robert;Lang;robertlang14226@emailsim.io;coffeeworks;05/02/1984;nmsRootRecipient;occasional;2025-02-12;UK;F;en;True
CRM0000001133;Ebony;Roe;ebonyroe15200@emailsim.io;coffeeworks;07/02/1994;nmsRootRecipient;occasional;2024-05-06;US;F;en;True
CRM0000001134;Gabriel;Johnston;gabrieljohnston15566@emailsim.io;coffeeworks;05/05/1968;nmsRootRecipient;active_high;2024-11-27;FR;F;fr;True
CRM0000001135;Koby;Budd;kobybudd18643@emailsim.io;coffeeworks;12/05/1986;nmsRootRecipient;one_time;2024-07-23;DE;F;de;False
CRM0000001136;Eloise;Lawson;eloiselawson18732@yopmail.com;coffeeworks;10/01/1984;nmsRootRecipient;active_medium;2023-11-15;US;M;en;True
CRM0000001137;Jo;Trego;jostrego1100@yopmail.com;coffeeworks;11/11/1960;nmsRootRecipient;active_high;2024-03-16;US;M;en;True
CRM0000001138;Laura;Lord;lauralord1784@emailsim.io;coffeeworks;04/02/1939;nmsRootRecipient;prospect;2025-11-27;FR;F;fr;False
CRM0000001139;Odo;Monty;odomonty4061@emailsim.io;coffeeworks;08/10/1987;nmsRootRecipient;prospect;2025-10-28;US;Other;en;False
CRM0000001140;Don;Granger;donwgranger4355@emailsim.io;coffeeworks;09/06/1987;nmsRootRecipient;lapsed;2023-04-05;UK;F;en;True
CRM0000001141;Niamh;Holt;niamhholt4597@emailsim.io;coffeeworks;06/01/1990;nmsRootRecipient;active_medium;2025-02-17;FR;M;fr;True
CRM0000001142;Vega;Olofsson;vegaolofsson4858@emailsim.io;coffeeworks;08/02/1936;nmsRootRecipient;active_high;2023-07-18;US;M;en;True
CRM0000001143;Toby;Horton;tobyhorton6585@emailsim.io;coffeeworks;12/01/1984;nmsRootRecipient;one_time;2025-01-05;FR;F;fr;False
CRM0000001144;Tom;Bowen;tombowen6919@yopmail.com;coffeeworks;08/01/1960;nmsRootRecipient;occasional;2025-07-15;UK;F;en;True
CRM0000001145;Ewan;Dean;ewandean7677@emailsim.io;coffeeworks;06/12/1965;nmsRootRecipient;active_high;2024-12-05;DE;F;de;True
CRM0000001146;Sara;Rix;sararix16483@emailsim.io;coffeeworks;08/03/1942;nmsRootRecipient;occasional;2024-11-08;FR;F;fr;True
CRM0000001147;Davet;Fortin;davetfortin7725@emailsim.io;coffeeworks;03/03/1970;nmsRootRecipient;active_high;2024-06-25;DE;F;de;True
CRM0000001148;Mildred;Blais;mildredsblais7816@yopmail.com;coffeeworks;01/02/1982;nmsRootRecipient;prospect;2025-10-20;US;M;en;False
CRM0000001149;Zak;Hardy;zakhardy18471@emailsim.io;coffeeworks;11/05/1996;nmsRootRecipient;active_medium;2025-07-29;US;F;en;True
CRM0000001150;Fifi;Jodion;fifijodion8595@emailsim.io;coffeeworks;02/02/1989;nmsRootRecipient;one_time;2023-09-13;US;M;en;False
CRM0000001151;Demi;Burns;demiburns8904@emailsim.io;coffeeworks;12/05/1995;nmsRootRecipient;active_medium;2025-02-14;UK;F;en;True
CRM0000001152;Eva;Quick;evaquick9596@emailsim.io;coffeeworks;01/07/1980;nmsRootRecipient;occasional;2023-05-20;DE;M;de;True
CRM0000001153;David;Holland;davidholland9774@emailsim.io;coffeeworks;02/02/1971;nmsRootRecipient;occasional;2024-09-16;UK;M;en;False
CRM0000001154;Thomas;Wilson;thomaswilson10403@emailsim.io;coffeeworks;07/07/1991;nmsRootRecipient;active_medium;2024-08-23;FR;M;fr;True
CRM0000001155;Frank;Schwab;frankschwab10493@emailsim.io;coffeeworks;10/05/1942;nmsRootRecipient;prospect;2026-01-03;US;F;en;False
CRM0000001156;Abby;Fry;abbyfry10824@yopmail.com;coffeeworks;07/11/1967;nmsRootRecipient;lapsed;2024-01-06;US;F;en;False
CRM0000001157;Elna;Ek;elnaek13532@emailsim.io;coffeeworks;02/01/1974;nmsRootRecipient;prospect;2025-12-27;DE;M;de;False
CRM0000001158;Peter;Muench;petermuench14193@emailsim.io;coffeeworks;08/12/1929;nmsRootRecipient;lapsed;2023-07-16;UK;F;en;True
CRM0000001159;Olov;Jansson;olovjonsson14782@yopmail.com;coffeeworks;02/03/1997;nmsRootRecipient;occasional;2025-02-19;FR;F;fr;True
CRM0000001160;Talon;GuÈdry;talonguedry15184@yopmail.com;coffeeworks;01/11/1983;nmsRootRecipient;prospect;2025-10-23;US;F;en;False
CRM0000001161;Paul;Mauer;paulmauer15323@emailsim.io;coffeeworks;02/09/1944;nmsRootRecipient;active_high;2023-04-04;DE;F;de;True
CRM0000001162;Ambra;Reault;ambrareault16089@emailsim.io;coffeeworks;01/03/1961;nmsRootRecipient;active_medium;2024-04-11;UK;M;en;True
CRM0000001163;Cody;Lawlor;codylawlor16406@emailsim.io;coffeeworks;03/11/1971;nmsRootRecipient;active_high;2024-08-15;FR;M;fr;True
CRM0000001164;Mia;Bates;miabates16719@emailsim.io;coffeeworks;04/06/1953;nmsRootRecipient;active_medium;2023-06-13;US;M;en;True
CRM0000001165;Ellis;Foster;ellisfoster18210@emailsim.io;coffeeworks;06/11/1946;nmsRootRecipient;occasional;2025-07-23;UK;F;en;True
CRM0000001166;Tom;Junker;tomjunker1118@yopmail.com;coffeeworks;01/09/1959;nmsRootRecipient;active_medium;2024-04-21;DE;M;de;True
CRM0000001167;Jake;Ding;jakeding5285@yopmail.com;coffeeworks;10/01/1968;nmsRootRecipient;lapsed;2023-04-14;DE;M;de;True
CRM0000001168;Sigge;Lund;siggelund5754@emailsim.io;coffeeworks;06/12/1965;nmsRootRecipient;occasional;2024-03-24;US;M;en;False
CRM0000001169;Tom;Woods;tomwoods5807@emailsim.io;coffeeworks;11/02/1945;nmsRootRecipient;active_medium;2024-07-23;US;M;en;True
CRM0000001170;Jose;Moss;josebmoss5985@yopmail.com;coffeeworks;12/01/1954;nmsRootRecipient;occasional;2024-06-07;UK;F;en;False
CRM0000001171;Wilma;Åberg;wilmaaberg6084@emailsim.io;coffeeworks;04/08/1933;nmsRootRecipient;active_high;2025-01-17;US;F;en;True
CRM0000001173;Evan;Young;evanyoung6333@yopmail.com;coffeeworks;11/04/1930;nmsRootRecipient;lapsed;2023-06-16;FR;M;fr;True
CRM0000001174;Jarg;Lowe;jorglowe6777@yopmail.com;coffeeworks;08/01/1936;nmsRootRecipient;active_high;2025-01-28;US;F;en;True
CRM0000001175;Evie;Norris;evienorris7125@emailsim.io;coffeeworks;01/03/1946;nmsRootRecipient;prospect;2025-11-29;US;F;en;False
CRM0000001176;David;Werfel;davidwerfel19975@emailsim.io;coffeeworks;02/01/1949;nmsRootRecipient;lapsed;2023-08-03;FR;F;fr;False
CRM0000001177;Anton;Hellstram;Hellstrom@emailsim.io;coffeeworks;05/06/1948;nmsRootRecipient;active_medium;2024-06-30;UK;M;en;True
CRM0000001178;Monica;Lopez;monicahlopez3@emailsim.io;coffeeworks;05/06/1948;nmsRootRecipient;active_high;2023-05-27;FR;M;fr;True
CRM0000001179;Catherine;Tisserand;catherinetisserand4@emailsim.io;coffeeworks;07/03/1940;nmsRootRecipient;lapsed;2023-06-25;DE;F;de;False
CRM0000001180;Philipp;Wechsler;philippwechsler5@emailsim.io;coffeeworks;07/01/1992;nmsRootRecipient;one_time;2025-12-29;US;F;en;True
CRM0000001181;Alessandro;Andreasson;alessandroandreasson6@emailsim.io;coffeeworks;10/10/1955;nmsRootRecipient;one_time;2024-05-16;FR;M;fr;False
CRM0000001182;Kyle;Norman;kylenorman7@emailsim.io;coffeeworks;10/04/1996;nmsRootRecipient;lapsed;2023-06-17;US;F;en;True
CRM0000001183;Lo;Sundstram;losundstrom8@yopmail.com;coffeeworks;01/08/1974;nmsRootRecipient;active_high;2025-08-04;UK;F;en;True
CRM0000001184;Noelle;Berggren;noelleberggren9@emailsim.io;coffeeworks;04/08/1980;nmsRootRecipient;occasional;2024-03-23;US;M;en;True
CRM0000001185;Debbie;Ruiz;debbiewruiz10@emailsim.io;coffeeworks;02/11/1994;nmsRootRecipient;active_high;2024-07-06;US;M;en;True
CRM0000001186;Hayden;Laurens;haydenlaurens11@emailsim.io;coffeeworks;01/11/1992;nmsRootRecipient;lapsed;2023-08-13;US;M;en;True
CRM0000001187;Kalle;Dahl;kalledahl12@emailsim.io;coffeeworks;10/01/1952;nmsRootRecipient;one_time;2024-10-26;US;F;en;False
CRM0000001188;Florence;Russell;florenceprussell13@emailsim.io;coffeeworks;12/06/1933;nmsRootRecipient;active_medium;2023-04-25;DE;Other;de;True
CRM0000001189;Matthias;Schulze;matthiasschulze14@emailsim.io;coffeeworks;09/05/1967;nmsRootRecipient;active_high;2024-04-14;FR;F;fr;True
CRM0000001190;Gabriel;Barros;gabrielcastrobarros15@emailsim.io;coffeeworks;09/08/1991;nmsRootRecipient;active_medium;2023-03-07;DE;F;de;True
CRM0000001191;Leia;Engstram;leiaengstrom16@emailsim.io;coffeeworks;07/09/1984;nmsRootRecipient;active_medium;2024-10-08;UK;F;en;True
CRM0000001192;Wilma;Blue;wilmacblue17@emailsim.io;coffeeworks;10/01/1939;nmsRootRecipient;one_time;2025-04-01;US;M;en;True
CRM0000001193;Janina;Luft;janinaluft18@emailsim.io;coffeeworks;04/06/1939;nmsRootRecipient;one_time;2024-07-02;US;M;en;True
CRM0000001194;Alva;Sylvester;alvarsylvester19@emailsim.io;coffeeworks;10/04/1959;nmsRootRecipient;lapsed;2023-03-09;US;M;en;True
CRM0000001195;Joe;Warner;joewarner20@yopmail.com;coffeeworks;09/11/1940;nmsRootRecipient;occasional;2023-10-03;US;F;en;True
CRM0000001196;Miguel;Ribeiro;miguelmeloribeiro21@emailsim.io;coffeeworks;10/04/1993;nmsRootRecipient;active_high;2024-10-06;FR;F;fr;True
CRM0000001197;Jan;Abt;janabt22@yopmail.com;coffeeworks;05/09/1981;nmsRootRecipient;one_time;2024-03-11;UK;M;en;False
CRM0000001198;Troy;LalibertÈ;troylaliberte23@emailsim.io;coffeeworks;02/03/1973;nmsRootRecipient;lapsed;2024-05-26;US;M;en;True
CRM0000001199;Albert;Lindqvist;albertlindqvist24@emailsim.io;coffeeworks;08/04/1949;nmsRootRecipient;occasional;2024-04-09;US;F;en;False
CRM0000001200;Ellie;Burton;ellieburton25@emailsim.io;coffeeworks;12/08/1994;nmsRootRecipient;lapsed;2024-04-14;US;M;en;True
CRM0000001201;Brunella;Bonami;brunellabonami26@emailsim.io;coffeeworks;06/03/1990;nmsRootRecipient;occasional;2023-07-25;US;F;en;True
CRM0000001202;Kaspar;Nordstram;kasparnordstrom27@emailsim.io;coffeeworks;04/07/1974;nmsRootRecipient;occasional;2023-11-27;US;M;en;True
CRM0000001203;Tiago;Ferreira;tiagocardosoferreira28@emailsim.io;coffeeworks;01/09/1984;nmsRootRecipient;occasional;2023-07-21;FR;F;fr;True
CRM0000001204;Alicia;Lamilami;alicialamilami29@yopmail.com;coffeeworks;12/11/1941;nmsRootRecipient;active_high;2024-05-20;US;F;en;True
CRM0000001205;Dennis;Martinez;dennisdmartinez30@emailsim.io;coffeeworks;04/03/1958;nmsRootRecipient;active_high;2024-06-22;FR;M;fr;True
CRM0000001206;Sara;Brunton;sarabrunton31@emailsim.io;coffeeworks;12/03/1966;nmsRootRecipient;active_high;2025-05-27;US;F;en;True
CRM0000001207;Edmee;D'Aoust;edmeedaoust32@emailsim.io;coffeeworks;05/10/1956;nmsRootRecipient;one_time;2025-03-28;US;M;en;False
CRM0000001208;Zachary;Woods;zacharywoods33@emailsim.io;coffeeworks;05/01/1962;nmsRootRecipient;active_medium;2025-01-11;FR;M;fr;True
CRM0000001209;Albert;Lindqvist;albertlindqvist234@emailsim.io;coffeeworks;07/10/1955;nmsRootRecipient;occasional;2023-10-11;UK;M;en;True
CRM0000001210;Tea;Forsberg;teaforsberg35@emailsim.io;coffeeworks;08/02/1954;nmsRootRecipient;prospect;2025-11-01;US;F;en;False
CRM0000001211;Milla;Lawes;millalawes36@emailsim.io;coffeeworks;08/10/1945;nmsRootRecipient;active_medium;2025-10-07;DE;M;de;True
CRM0000001212;Declan;Thorpe;declanthorpe37@emailsim.io;coffeeworks;04/07/1959;nmsRootRecipient;occasional;2023-06-02;US;M;en;True
CRM0000001213;Rodney;Rosales;rodneycrosales38@emailsim.io;coffeeworks;01/03/1941;nmsRootRecipient;lapsed;2023-02-18;US;F;en;True
CRM0000001214;Caitlyn;Giblin;caitlyngiblin39@emailsim.io;coffeeworks;01/01/1984;nmsRootRecipient;active_medium;2023-08-13;FR;M;fr;True
CRM0000001215;Annett;Oster;annettoster40@emailsim.io;coffeeworks;03/08/1945;nmsRootRecipient;active_high;2023-11-10;FR;M;fr;True
CRM0000001216;Larry;Morris;larrygmorris41@yopmail.com;coffeeworks;07/05/1945;nmsRootRecipient;active_medium;2023-11-24;US;M;en;True
CRM0000001217;Alita;Loiseau;alitaloiseau42@yopmail.com;coffeeworks;05/02/1987;nmsRootRecipient;active_medium;2025-05-14;US;F;en;True
CRM0000001218;João;Sousa;joaocavalcantisousa43@emailsim.io;coffeeworks;11/12/1977;nmsRootRecipient;prospect;2025-12-30;DE;Other;de;False
CRM0000001219;Chantal;L'Angelier;chantallangelier44@emailsim.io;coffeeworks;06/11/1936;nmsRootRecipient;lapsed;2023-03-07;US;M;en;False
CRM0000001220;Leon;Metzger;leonmetzger45@emailsim.io;coffeeworks;02/12/1956;nmsRootRecipient;one_time;2025-02-27;US;F;en;False
CRM0000001221;Beatrice;Southard;beatricedsouthard46@emailsim.io;coffeeworks;08/11/1936;nmsRootRecipient;lapsed;2024-01-26;UK;M;en;True
CRM0000001222;Searlait;Gingras;searlaitgingras47@emailsim.io;coffeeworks;10/05/1974;nmsRootRecipient;lapsed;2024-04-24;DE;F;de;True
CRM0000001223;Teresa;Aston;teresajaston48@emailsim.io;coffeeworks;04/02/1938;nmsRootRecipient;active_medium;2024-05-29;US;M;en;True
CRM0000001224;Thaís;Carvalho;thaisoliveiracarvalho49@yopmail.com;coffeeworks;11/09/1967;nmsRootRecipient;lapsed;2023-01-12;FR;M;fr;True
CRM0000001225;Isak;Jonasson;isakjonasson50@yopmail.com;coffeeworks;07/05/1989;nmsRootRecipient;occasional;2025-01-25;UK;F;en;True
CRM0000001226;Eduarda;Dias;eduardaferreiradias51@emailsim.io;coffeeworks;03/08/1975;nmsRootRecipient;lapsed;2023-04-28;UK;M;en;True
CRM0000001227;Mario;Nystram;marionystrom52@emailsim.io;coffeeworks;09/09/1952;nmsRootRecipient;lapsed;2023-10-01;FR;M;fr;False
CRM0000001228;Stacie;Abbott;staciedabbott53@emailsim.io;coffeeworks;10/07/1970;nmsRootRecipient;active_medium;2024-11-27;DE;F;de;True
CRM0000001229;Christian;Amsel;christianamsel54@yopmail.com;coffeeworks;04/07/1980;nmsRootRecipient;active_high;2023-08-17;US;Other;en;True
CRM0000001230;Enya;Henriksson;enyahenriksson55@emailsim.io;coffeeworks;08/02/1941;nmsRootRecipient;active_medium;2024-08-24;US;M;en;True
CRM0000001231;Jessamine;ClÈment;jessamineclement56@yopmail.com;coffeeworks;10/05/1989;nmsRootRecipient;occasional;2024-05-19;DE;F;de;True
CRM0000001232;Mohammad;Fuller;mohammadfuller57@yopmail.com;coffeeworks;05/07/1982;nmsRootRecipient;lapsed;2023-06-11;FR;F;fr;False
CRM0000001233;Paige;Reeves;paigereeves58@emailsim.io;coffeeworks;08/01/1991;nmsRootRecipient;lapsed;2024-04-09;UK;M;en;False
CRM0000001234;Isabelle;Ormond;isabelleormond59@emailsim.io;coffeeworks;10/12/1966;nmsRootRecipient;active_high;2023-01-07;UK;F;en;True
CRM0000001235;Catherine;Noack;catherinesnoack60@yopmail.com;coffeeworks;05/08/1931;nmsRootRecipient;occasional;2025-11-01;FR;F;fr;True
CRM0000001236;Tom;Wechsler;tomwechsler61@emailsim.io;coffeeworks;09/05/1979;nmsRootRecipient;occasional;2025-03-09;FR;F;fr;False
CRM0000001237;Matthew;Feint;matthewfeint62@emailsim.io;coffeeworks;12/01/1945;nmsRootRecipient;active_medium;2024-06-23;DE;M;de;True
CRM0000001238;Jewel;Paquin;jewelpaquin63@emailsim.io;coffeeworks;09/07/1983;nmsRootRecipient;active_high;2025-10-22;UK;M;en;True
CRM0000001239;Michael;Stevenson;michaelstevenson64@emailsim.io;coffeeworks;11/03/1966;nmsRootRecipient;active_medium;2024-01-01;US;F;en;True
CRM0000001240;Pomeroy;Lesage;pomeroylesage65@yopmail.com;coffeeworks;08/12/1981;nmsRootRecipient;prospect;2025-12-18;UK;M;en;False
CRM0000001241;Luiz;Cardoso;luizcostacardoso66@emailsim.io;coffeeworks;03/05/1993;nmsRootRecipient;active_medium;2023-08-06;UK;M;en;True
CRM0000001242;Aceline;Brodeur;acelinebrodeur67@emailsim.io;coffeeworks;03/12/1958;nmsRootRecipient;occasional;2025-08-08;UK;M;en;True
CRM0000001243;Hannah;Bennett;hannahbennett68@emailsim.io;coffeeworks;12/10/1957;nmsRootRecipient;one_time;2024-09-03;UK;M;en;False
CRM0000001244;Zebastian;Garansson;zebastiangoransson69@emailsim.io;coffeeworks;01/06/1935;nmsRootRecipient;occasional;2025-07-09;US;M;en;True
CRM0000001245;Carla;Almeida;carlapintoalmeida70@yopmail.com;coffeeworks;07/11/1980;nmsRootRecipient;prospect;2026-01-04;UK;M;en;False
CRM0000001246;Effie;Miller;effiedmiller71@emailsim.io;coffeeworks;04/01/1982;nmsRootRecipient;prospect;2025-12-18;FR;M;fr;False
CRM0000001247;Sumaya;Magnusson;sumayamagnusson72@emailsim.io;coffeeworks;04/07/1992;nmsRootRecipient;active_medium;2024-02-12;FR;M;fr;True
CRM0000001248;Juergen;Lemann;jurgenlemann73@emailsim.io;coffeeworks;07/08/1984;nmsRootRecipient;occasional;2023-08-04;UK;F;en;False
CRM0000001249;Rachelle;LavallÈe;rachellelavallee74@emailsim.io;coffeeworks;01/09/1995;nmsRootRecipient;active_medium;2025-02-04;US;M;en;True
CRM0000001250;Millie;Whittaker;milliewhittaker75@emailsim.io;coffeeworks;11/03/1989;nmsRootRecipient;active_medium;2023-11-27;UK;F;en;True
CRM0000001251;Dylan;Cross;dylancross76@yopmail.com;coffeeworks;02/06/1973;nmsRootRecipient;active_high;2023-01-02;FR;F;fr;True
CRM0000001252;Miguel;Santos;miguelaraujosantos77@emailsim.io;coffeeworks;08/04/1941;nmsRootRecipient;one_time;2024-10-25;UK;F;en;True
CRM0000001253;Lance;Lang;lancelang78@emailsim.io;coffeeworks;10/10/1990;nmsRootRecipient;occasional;2024-07-13;FR;F;fr;True
CRM0000001254;Uwe;Hahn;uwehahn79@emailsim.io;coffeeworks;09/12/1931;nmsRootRecipient;active_high;2023-02-09;UK;M;en;True
CRM0000001255;Mickey;Graham;mickeykgraham80@emailsim.io;coffeeworks;11/07/1945;nmsRootRecipient;active_medium;2023-08-18;US;M;en;True
CRM0000001256;Marcel;Schaefer;marcelschaefer81@emailsim.io;coffeeworks;11/02/1987;nmsRootRecipient;prospect;2025-11-30;FR;M;fr;False
CRM0000001257;Leo;Lloyd;leolloyd82@emailsim.io;coffeeworks;04/04/1937;nmsRootRecipient;active_medium;2024-09-21;US;M;en;True
CRM0000001258;Florence;Couturier;florencecouturier83@emailsim.io;coffeeworks;05/11/1961;nmsRootRecipient;active_high;2024-05-05;UK;M;en;True
CRM0000001259;Altin;Blomqvist;altinblomqvist84@emailsim.io;coffeeworks;07/08/1992;nmsRootRecipient;occasional;2023-04-29;US;F;en;True
CRM0000001260;AndrÈ;Santos;andrecunhasantos85@emailsim.io;coffeeworks;11/01/1941;nmsRootRecipient;prospect;2025-11-14;US;M;en;False
CRM0000001261;Ricky;Jackson;rickyljackson86@emailsim.io;coffeeworks;11/08/1941;nmsRootRecipient;active_medium;2023-06-11;UK;Other;en;True
CRM0000001262;Henry;Myer;henrymyer87@emailsim.io;coffeeworks;07/11/1995;nmsRootRecipient;one_time;2023-06-25;UK;F;en;False
CRM0000001263;Linda;Morrow;lindasmorrow88@emailsim.io;coffeeworks;01/01/1952;nmsRootRecipient;lapsed;2024-05-12;FR;F;fr;True
CRM0000001264;Anna;Araujo;annapintoaraujo89@emailsim.io;coffeeworks;11/07/1943;nmsRootRecipient;active_medium;2023-05-22;FR;M;fr;True
CRM0000001265;Kevin;Fiedler;kevinfiedler120@emailsim.io;coffeeworks;03/06/1955;nmsRootRecipient;one_time;2025-12-26;FR;F;fr;False
CRM0000001266;Toussaint;Auberjonois;toussaintauberjonois90@emailsim.io;coffeeworks;08/06/1990;nmsRootRecipient;occasional;2025-04-23;UK;M;en;True
CRM0000001267;Eva;Newton;evanewton91@emailsim.io;coffeeworks;05/01/1991;nmsRootRecipient;one_time;2023-09-15;UK;M;en;False
CRM0000001268;Noel;Gervais;noelgervais92@emailsim.io;coffeeworks;12/12/1958;nmsRootRecipient;one_time;2023-09-20;UK;F;en;True
CRM0000001269;Ethel;Wheatley;ethelvwheatley93@emailsim.io;coffeeworks;06/01/1970;nmsRootRecipient;occasional;2025-01-04;UK;M;en;True
CRM0000001270;Maximilian;Baer;maximilianbaer94@emailsim.io;coffeeworks;06/08/1951;nmsRootRecipient;active_high;2025-08-31;UK;M;en;True
CRM0000001271;Angelika;Baader;angelikabaader95@emailsim.io;coffeeworks;10/07/1951;nmsRootRecipient;lapsed;2023-06-19;DE;F;de;True
CRM0000001272;Anne;Gruenewald;annegruenewald96@yopmail.com;coffeeworks;10/01/1941;nmsRootRecipient;active_medium;2024-06-26;US;M;en;True
CRM0000001273;Eduardo;Rodrigues;eduardogomesrodrigues97@yopmail.com;coffeeworks;03/05/1938;nmsRootRecipient;active_medium;2025-05-16;DE;F;de;True
CRM0000001274;Alice;Souza;alicearaujosouza98@emailsim.io;coffeeworks;10/11/1948;nmsRootRecipient;active_high;2024-03-09;US;F;en;True
CRM0000001275;Lauren;Worrall;laurenworrall99@emailsim.io;coffeeworks;05/07/1972;nmsRootRecipient;occasional;2025-10-07;US;M;en;True
CRM0000001276;Kevin;Burger;kevinburger100@emailsim.io;coffeeworks;09/01/1966;nmsRootRecipient;one_time;2024-02-16;US;F;en;True
CRM0000001277;Juliane;Drescher;julianedrescher101@emailsim.io;coffeeworks;03/12/1958;nmsRootRecipient;active_high;2024-09-30;UK;F;en;True
CRM0000001278;Jordan;Morton;jordanmorton102@emailsim.io;coffeeworks;12/06/1941;nmsRootRecipient;occasional;2024-04-12;US;M;en;False
CRM0000001279;John;Mueller;johnamueller103@emailsim.io;coffeeworks;02/07/1982;nmsRootRecipient;active_medium;2025-02-03;DE;M;de;True
CRM0000001280;Tayla;Derham;tayladerham104@emailsim.io;coffeeworks;11/04/1976;nmsRootRecipient;one_time;2025-06-16;FR;F;fr;False
CRM0000001281;Michael;Grams;michaelrgrams105@emailsim.io;coffeeworks;04/05/1954;nmsRootRecipient;active_medium;2025-07-13;FR;F;fr;True
CRM0000001282;Leon;Krueger;leonkrueger106@emailsim.io;coffeeworks;08/07/1979;nmsRootRecipient;one_time;2023-09-05;UK;F;en;True
CRM0000001283;William;Doe;williamldoe107@emailsim.io;coffeeworks;08/02/1939;nmsRootRecipient;occasional;2023-11-09;DE;M;de;True
CRM0000001284;Hannes;Sandberg;hannessandberg108@emailsim.io;coffeeworks;01/05/1973;nmsRootRecipient;prospect;2025-11-12;FR;M;fr;False
CRM0000001285;Lincoln;Winning;lincolnwinning109@yopmail.com;coffeeworks;03/02/1983;nmsRootRecipient;active_high;2023-05-12;UK;F;en;True
